trial,type,t,v_ms
1,water,0,0
1,water,0.430,-4.6
1,water,0.645,-6.8
1,water,0.777,-8.2
2,water,0,0
2,water,0.481,-5.0
2,water,0.647,-6.5
2,water,0.829,-8.4
3,water,0,0
3,water,0.493,-4.7
3,water,0.756,-7.3
3,water,0.838,-8.1
4,water,0,0
4,water,0.381,-4.2
4,water,0.531,-5.7
4,water,0.763,-8.1
5,water,0,0
5,water,0.383,-4.3
5,water,0.599,-6.5
5,water,0.782,-8.3
1,rocks,0,0
1,rocks,0.433,-5.2
1,rocks,0.649,-7.5
1,rocks,0.799,-9.0
2,rocks,0,0
2,rocks,0.498,-4.2
2,rocks,0.647,-6.1
2,rocks,0.829,-8.0
3,rocks,0,0
3,rocks,0.517,-3.9
3,rocks,0.750,-6.1
3,rocks,0.917,-7.6
4,rocks,0,0
4,rocks,0.399,-4.0
4,rocks,0.582,-5.9
4,rocks,0.715,-7.3
5,rocks,0,0
5,rocks,0.380,-3.9
5,rocks,0.545,-5.6
5,rocks,0.711,-7.3